hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 900.00000, 0, 0, 0, 0
0, 1800.00000, 0, 0, 0, 0
0, 2700.00000, 0, 0, 0, 0
1, 0.00000, 0, 0, 0, 0
1, 900.00000, 0, 0, 0, 0
1, 1800.00000, 0, 0, 0, 0
1, 2700.00000, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0
2, 900.00000, 0, 0, 0, 0
2, 1800.00000, 0, 0, 0, 0
2, 2700.00000, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0
3, 900.00000, 0, 0, 0, 0
3, 1800.00000, 0, 0, 0, 0
3, 2700.00000, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0
4, 900.00000, 0, 0, 0, 0
4, 1800.00000, 0, 0, 0, 0
4, 2700.00000, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0
5, 900.00000, 0, 0, 0, 0
5, 1800.00000, 0, 0, 0, 0
5, 2700.00000, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0
6, 900.00000, 0, 0, 0, 0
6, 1800.00000, 0, 0, 0, 0
6, 2700.00000, -14.0709, 8.15506, -13.9619, -8.15493
7, 0.00000, -14.071, 8.15506, -13.962, -8.15506
7, 900.00000, -14.071, 8.15506, -13.962, -8.15506
7, 1800.00000, -28.0269, 16.1449, -28.0394, -16.1454
7, 2700.00000, -28.0266, 16.1451, -28.0394, -16.1451
8, 0.00000, -28.0266, 16.1451, -28.0394, -16.1451
8, 900.00000, -28.0266, 16.1451, -28.0394, -16.1451
8, 1800.00000, -28.0266, 16.1451, -28.0394, -16.1451
8, 2700.00000, -40.3667, 23.0416, -40.3673, -23.0412
9, 0.00000, -40.3673, 23.0417, -40.3677, -23.0417
9, 900.00000, -40.3673, 23.0417, -40.3677, -23.0417
9, 1800.00000, -65.845, 36.7712, -65.911, -36.7729
9, 2700.00000, -65.844, 36.7721, -65.9111, -36.7721
10, 0.00000, -65.844, 36.7721, -65.9111, -36.7721
10, 900.00000, -65.844, 36.7721, -65.9111, -36.7721
10, 1800.00000, -65.844, 36.7721, -65.9111, -36.7721
10, 2700.00000, -103.238, 55.6932, -103.086, -55.6964
11, 0.00000, -103.236, 55.6949, -103.087, -55.6949
11, 900.00000, -103.236, 55.6949, -103.087, -55.6949
11, 1800.00000, -113.707, 60.7617, -113.361, -60.762
11, 2700.00000, -113.706, 60.7616, -113.361, -60.7616
12, 0.00000, -113.706, 60.7616, -113.361, -60.7616
12, 900.00000, -113.706, 60.7616, -113.361, -60.7616
12, 1800.00000, -113.706, 60.7616, -113.361, -60.7616
12, 2700.00000, -120.889, 64.0723, -120.195, -64.0713
13, 0.00000, -120.889, 64.0717, -120.195, -64.0717
13, 900.00000, -120.889, 64.0717, -120.195, -64.0717
13, 1800.00000, -120.902, 64.0652, -120.183, -64.0632
13, 2700.00000, -120.902, 64.0641, -120.182, -64.0641
14, 0.00000, -120.902, 64.0641, -120.182, -64.0641
14, 900.00000, -120.902, 64.0641, -120.182, -64.0641
14, 1800.00000, -120.902, 64.0641, -120.182, -64.0641
14, 2700.00000, -122.483, 64.8154, -121.737, -64.8147
15, 0.00000, -122.485, 64.8151, -121.738, -64.8151
15, 900.00000, -122.485, 64.8151, -121.738, -64.8151
15, 1800.00000, -118.344, 63.172, -118.817, -63.1754
15, 2700.00000, -118.342, 63.1738, -118.817, -63.1739
16, 0.00000, -118.342, 63.1739, -118.817, -63.1739
16, 900.00000, -118.342, 63.1739, -118.817, -63.1739
16, 1800.00000, -118.342, 63.1739, -118.817, -63.1739
16, 2700.00000, -93.9443, 51.3933, -94.4381, -51.3919
17, 0.00000, -93.9445, 51.3924, -94.4372, -51.3924
17, 900.00000, -93.9445, 51.3924, -94.4372, -51.3924
17, 1800.00000, -54.654, 31.0779, -55.2361, -31.077
17, 2700.00000, -54.654, 31.077, -55.2354, -31.077
18, 0.00000, -54.654, 31.077, -55.2354, -31.077
18, 900.00000, -54.654, 31.077, -55.2354, -31.077
18, 1800.00000, -54.654, 31.077, -55.2354, -31.077
18, 2700.00000, -13.9504, 8.22726, -14.0824, -8.22679
19, 0.00000, -13.9507, 8.22702, -14.0823, -8.22702
19, 900.00000, -13.9507, 8.22702, -14.0823, -8.22702
19, 1800.00000, 0, 0, 0, 0
19, 2700.00000, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0
20, 900.00000, 0, 0, 0, 0
20, 1800.00000, 0, 0, 0, 0
20, 2700.00000, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0
21, 900.00000, 0, 0, 0, 0
21, 1800.00000, 0, 0, 0, 0
21, 2700.00000, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0
22, 900.00000, 0, 0, 0, 0
22, 1800.00000, 0, 0, 0, 0
22, 2700.00000, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0
23, 900.00000, 0, 0, 0, 0
23, 1800.00000, 0, 0, 0, 0
23, 2700.00000, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0
